Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,synthetic_rows,cascade_layers,n_estimators,train_time
0.8484375,0.4220764367967707,0.6293017962353818,0.41002731317651236,0.7931875247868332,3,interpolation,deepforest_kmeans_smote_margin,0.4,3200,21597,3,80,7.179209232330322
0.8445,0.3641482034367596,0.6149715594217311,0.3644227275189611,0.7897078408126691,3,interpolation,deepforest_kmeans_smote_margin,0.5,4000,21597,3,80,7.179209232330322
0.728875,0.33941151330556407,0.4585008380148743,0.33994462250543744,0.6842655282020179,3,interpolation,deepforest_kmeans_smote_full,1.0,8000,21597,3,80,7.179209232330322
0.8970588235294118,0.2,0.0,0.18914728682170542,0.8483812129502963,3,extrapolation,deepforest_kmeans_smote_margin,0.01,272,21597,3,80,7.179209232330322
0.8952205882352942,0.2619047619047619,0.2508504488726505,0.27859237536656895,0.8477553044678282,3,extrapolation,deepforest_kmeans_smote_margin,0.02,544,21597,3,80,7.179209232330322
0.9044117647058824,0.35795454545454547,0.4417568775272146,0.35940117032832264,0.8628679927330265,3,extrapolation,deepforest_kmeans_smote_margin,0.03,816,21597,3,80,7.179209232330322
0.924264705882353,0.3401442307692308,0.5488700641069028,0.3289870387285894,0.8908253403093186,3,extrapolation,deepforest_kmeans_smote_margin,0.05,1360,21597,3,80,7.179209232330322
0.9200367647058824,0.43773976982097185,0.6130485211630572,0.43822983124571396,0.8855975831727999,3,extrapolation,deepforest_kmeans_smote_margin,0.08,2176,21597,3,80,7.179209232330322
0.9088235294117647,0.4227941176470588,0.5613007006511888,0.4297851489646692,0.8694012934749866,3,extrapolation,deepforest_kmeans_smote_margin,0.1,2720,21597,3,80,7.179209232330322
0.9126838235294118,0.393889570651239,0.5237744025535428,0.41658014145788475,0.8783659683588337,3,extrapolation,deepforest_kmeans_smote_margin,0.2,5440,21597,3,80,7.179209232330322
0.9026960784313726,0.34887376914909074,0.49779054107307896,0.38645818448312785,0.8656989505662289,3,extrapolation,deepforest_kmeans_smote_margin,0.3,8160,21597,3,80,7.179209232330322
0.8893382352941176,0.32482614526351583,0.4848801467323386,0.36747774195888605,0.8509939776427289,3,extrapolation,deepforest_kmeans_smote_margin,0.4,10880,21597,3,80,7.179209232330322
0.8677941176470588,0.24208193424213137,0.4726991308814464,0.26636010713452196,0.824371888706828,3,extrapolation,deepforest_kmeans_smote_margin,0.5,13600,21597,3,80,7.179209232330322
0.6748161764705882,0.21243651045424625,0.4284197285204733,0.16721996439733375,0.6024704871579495,3,extrapolation,deepforest_kmeans_smote_full,1.0,27200,21597,3,80,7.179209232330322
0.9625,0.3333333333333333,0.0,0.32696390658174096,0.944108280254777,4,interpolation,deepforest_kmeans_smote_margin,0.01,80,21596,3,80,7.2013258934021
0.95,0.25,0.0,0.24358974358974358,0.9256410256410256,4,interpolation,deepforest_kmeans_smote_margin,0.02,160,21596,3,80,7.2013258934021
0.9666666666666667,0.5846153846153846,0.9197373124351645,0.5874285714285714,0.9603809523809523,4,interpolation,deepforest_kmeans_smote_margin,0.03,240,21596,3,80,7.2013258934021
0.9525,0.5912408759124087,0.9040293049681817,0.58642958091777,0.9366819171642007,4,interpolation,deepforest_kmeans_smote_margin,0.05,400,21596,3,80,7.2013258934021
0.9515625,0.7013315754779169,0.8907503675762564,0.6026778960553795,0.9386313410651159,4,interpolation,deepforest_kmeans_smote_margin,0.08,640,21596,3,80,7.2013258934021
0.9525,0.6730094021434804,0.8824661488189454,0.5801500324349483,0.9407433609249456,4,interpolation,deepforest_kmeans_smote_margin,0.1,800,21596,3,80,7.2013258934021
0.939375,0.4588858196302517,0.8081961834009583,0.47507078419679744,0.920843397830479,4,interpolation,deepforest_kmeans_smote_margin,0.2,1600,21596,3,80,7.2013258934021
0.9229166666666667,0.45257026694092545,0.7408802105680159,0.46748027468486797,0.8993064125830191,4,interpolation,deepforest_kmeans_smote_margin,0.3,2400,21596,3,80,7.2013258934021
0.875,0.432225476747909,0.6166039105977422,0.4386713320428218,0.8328432839262598,4,interpolation,deepforest_kmeans_smote_margin,0.4,3200,21596,3,80,7.2013258934021
