Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,epochs,hidden,heads,knn,train_time
0.985,0.5,0.840431814099769,0.4986910994764398,0.9775589005235602,6,interpolation,resgat_margin,0.05,400,80,96,4,4,1.5171949863433838
0.978125,0.42626728110599077,0.8963711904369661,0.40335017531241574,0.9681823945877911,6,interpolation,resgat_margin,0.08,640,80,96,4,4,1.5171949863433838
0.965,0.3860795454545455,0.8612641215226703,0.37826794955456233,0.949508609648638,6,interpolation,resgat_margin,0.1,800,80,96,4,4,1.5171949863433838
0.933125,0.39872230943659515,0.7963204335080228,0.36717226042960205,0.9168910631903292,6,interpolation,resgat_margin,0.2,1600,80,96,4,4,1.5171949863433838
0.8920833333333333,0.41851318229994694,0.7176880030821873,0.3816666250009622,0.8850026908346382,6,interpolation,resgat_margin,0.3,2400,80,96,4,4,1.5171949863433838
0.8378125,0.4675171369250317,0.633147118951338,0.38913716399246256,0.8466988663890023,6,interpolation,resgat_margin,0.4,3200,80,96,4,4,1.5171949863433838
0.787,0.4821797606693381,0.5729742264918006,0.39456799684930915,0.8098847016747243,6,interpolation,resgat_margin,0.5,4000,80,96,4,4,1.5171949863433838
0.6085,0.4503243998636154,0.3991915438536974,0.3385462988606598,0.6593565079306525,6,interpolation,resgat_full,1.0,8000,80,96,4,4,1.5171949863433838
0.9926470588235294,0.5,0.5762840627964739,0.4990740740740741,0.9889842047930283,6,extrapolation,resgat_margin,0.01,272,80,96,4,4,1.5171949863433838
0.9889705882352942,0.6,0.6308453647846134,0.5988826815642458,0.9834866907656918,6,extrapolation,resgat_margin,0.02,544,80,96,4,4,1.5171949863433838
0.9901960784313726,0.5,0.5760761999462297,0.4991749174917492,0.9853183847796545,6,extrapolation,resgat_margin,0.03,816,80,96,4,4,1.5171949863433838
0.9860294117647059,0.42846425892187334,0.5452301839790655,0.4191564065059494,0.9794776511600015,6,extrapolation,resgat_margin,0.05,1360,80,96,4,4,1.5171949863433838
0.9692095588235294,0.40487829922497226,0.6034290594530225,0.40790308002828546,0.9592160780908198,6,extrapolation,resgat_margin,0.08,2176,80,96,4,4,1.5171949863433838
0.9522058823529411,0.43824135948014303,0.708812766026189,0.43077231992639303,0.9369543249021162,6,extrapolation,resgat_margin,0.1,2720,80,96,4,4,1.5171949863433838
0.9152573529411765,0.47358130721137026,0.7664191355549659,0.4417863834667074,0.8912670117308799,6,extrapolation,resgat_margin,0.2,5440,80,96,4,4,1.5171949863433838
0.8933823529411765,0.36628050892211694,0.7517815363509441,0.3395114635901673,0.8669246563273518,6,extrapolation,resgat_margin,0.3,8160,80,96,4,4,1.5171949863433838
0.8623161764705882,0.3497990134590487,0.7167211002419571,0.3034431397562663,0.8307459527574577,6,extrapolation,resgat_margin,0.4,10880,80,96,4,4,1.5171949863433838
0.8274264705882353,0.34434968659985926,0.675058146189405,0.2841546092478135,0.7929895776358817,6,extrapolation,resgat_margin,0.5,13600,80,96,4,4,1.5171949863433838
0.6549264705882353,0.288552112828304,0.4806334469785783,0.20578065942256954,0.6339150472704993,6,extrapolation,resgat_full,1.0,27200,80,96,4,4,1.5171949863433838
0.725,0.5,0.0,0.42028985507246375,0.6094202898550725,7,interpolation,resgat_margin,0.01,80,80,96,4,4,1.5576751232147217
0.7875,0.5,0.0,0.4405594405594406,0.6938811188811189,7,interpolation,resgat_margin,0.02,160,80,96,4,4,1.5576751232147217
0.85,0.5,0.3138198306376547,0.4793577981651376,0.7811926605504588,7,interpolation,resgat_margin,0.03,240,80,96,4,4,1.5576751232147217
0.8975,0.5916666666666667,0.5938858491730796,0.5842116288116828,0.8504287488404105,7,interpolation,resgat_margin,0.05,400,80,96,4,4,1.5576751232147217
0.9203125,0.5247619047619047,0.7300958326557034,0.5325602216113164,0.8858910731401608,7,interpolation,resgat_margin,0.08,640,80,96,4,4,1.5576751232147217
0.93,0.525627300100368,0.7891588993056957,0.528881038202847,0.9010610328717087,7,interpolation,resgat_margin,0.1,800,80,96,4,4,1.5576751232147217
0.926875,0.5571239184179203,0.8265196753442445,0.565051309011509,0.9040546774700567,7,interpolation,resgat_margin,0.2,1600,80,96,4,4,1.5576751232147217
0.89125,0.6137409388655246,0.7600144047273132,0.5886059674232458,0.8774802846871933,7,interpolation,resgat_margin,0.3,2400,80,96,4,4,1.5576751232147217
0.8296875,0.5522270528376343,0.6567735615642479,0.5195965519170376,0.8305184077610396,7,interpolation,resgat_margin,0.4,3200,80,96,4,4,1.5576751232147217
0.78575,0.5555690585970746,0.6082612765421296,0.5197872142541589,0.7940165124891614,7,interpolation,resgat_margin,0.5,4000,80,96,4,4,1.5576751232147217
0.666875,0.5161358724273903,0.4889263779372015,0.432465671975195,0.6759797410088649,7,interpolation,resgat_full,1.0,8000,80,96,4,4,1.5576751232147217
0.9852941176470589,0.2,0.0,0.1985185185185185,0.9779956427015251,7,extrapolation,resgat_margin,0.01,272,80,96,4,4,1.5576751232147217
0.9889705882352942,0.2,0.0,0.1988909426987061,0.9834864629770577,7,extrapolation,resgat_margin,0.02,544,80,96,4,4,1.5576751232147217
0.9865196078431373,0.2,0.0,0.1986428130783467,0.979825150294541,7,extrapolation,resgat_margin,0.03,816,80,96,4,4,1.5576751232147217
0.9889705882352942,0.2,0.0,0.1988909426987061,0.9834864629770579,7,extrapolation,resgat_margin,0.05,1360,80,96,4,4,1.5576751232147217
0.9797794117647058,0.20175438596491227,0.28651309235562317,0.22293225480283116,0.9709714209242849,7,extrapolation,resgat_margin,0.08,2176,80,96,4,4,1.5576751232147217
0.9720588235294118,0.3222943722943723,0.7235678848885745,0.35309992342083185,0.9623029520745557,7,extrapolation,resgat_margin,0.1,2720,80,96,4,4,1.5576751232147217
0.8919117647058824,0.3304383029620931,0.7253534532226089,0.3122411131708964,0.8585966263107913,7,extrapolation,resgat_margin,0.2,5440,80,96,4,4,1.5576751232147217
