Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,window,epochs,hidden,synthetic_rows,train_time
0.7175,0.7232276777935653,0.6306603204541197,0.44893769653203874,0.7440095940679528,5,interpolation,mscgan_mscnn_margin,0.1,800,31,8,96,3022,1.986769437789917
0.734375,0.7584465333665588,0.6262724181113296,0.4754468350890437,0.7724446617222199,5,interpolation,mscgan_mscnn_margin,0.2,1600,31,8,96,3022,1.986769437789917
0.735,0.7532401119048014,0.6210935300452443,0.47718482403372625,0.7718015510440441,5,interpolation,mscgan_mscnn_margin,0.3,2400,31,8,96,3022,1.986769437789917
0.72875,0.6324799438501739,0.6038830846803938,0.47157358534312066,0.7640299822575396,5,interpolation,mscgan_mscnn_margin,0.4,3200,31,8,96,3022,1.986769437789917
0.72375,0.6260484223845019,0.5947917057408009,0.4642492370094077,0.7591337961372783,5,interpolation,mscgan_mscnn_margin,0.5,4000,31,8,96,3022,1.986769437789917
0.625625,0.4529134334677454,0.45257116772244566,0.3786216300615096,0.667100592464324,5,interpolation,mscgan_mscnn_full,1.0,8000,31,8,96,3022,1.986769437789917
0.7610294117647058,0.48747591522157996,0.6083428538731004,0.37085837146479966,0.7073526168833486,5,extrapolation,mscgan_mscnn_margin,0.01,272,31,8,96,3022,1.986769437789917
0.7738970588235294,0.43084501705191364,0.5849204431228014,0.3207704457704458,0.732867811590238,5,extrapolation,mscgan_mscnn_margin,0.02,544,31,8,96,3022,1.986769437789917
0.7757352941176471,0.39340949033391914,0.583556505661613,0.29934180402930405,0.7365324575342957,5,extrapolation,mscgan_mscnn_margin,0.03,816,31,8,96,3022,1.986769437789917
0.7419117647058824,0.3839157995603716,0.530069925166564,0.27696842469810234,0.7147823383950536,5,extrapolation,mscgan_mscnn_margin,0.05,1360,31,8,96,3022,1.986769437789917
0.7316176470588235,0.30339638749853526,0.49833576193409523,0.21631760065491906,0.7109064536226697,5,extrapolation,mscgan_mscnn_margin,0.08,2176,31,8,96,3022,1.986769437789917
0.7338235294117647,0.3197440318981651,0.49856059168149336,0.2306621713663374,0.7139975918566955,5,extrapolation,mscgan_mscnn_margin,0.1,2720,31,8,96,3022,1.986769437789917
